id,category,question,answer,source
1,请假,安交院请病假流程是什么,学生请病假需填写请假审批单，附带校医院或二甲以上医院诊断证明；1 天内班主任审批，3 天内辅导员审批，3-7 天系部主任审批，7 天以上提交学生处审批，急诊可事后 24 小时内补假,学院学生管理规定acvtc.edu.cn/jcx
2,请假,事假怎么申请,事假需提前提交请假单，写明事由、外出地址、联系方式，家长知情签字；未经审批擅自离校按旷课处理，实训、考试期间请假需系主任审批,学生手册
3,请假,请假结束后需要销假吗,假期结束 24 小时内必须到辅导员处销假，逾期未销假统一按旷课记录,学生管理条例
4,请假,军训生病怎么请假,军训病假不超 3 天由辅导员 + 教官审批，超过 3 天需军训办审批，请假累计超 3 天需重修军训,军训指南通知公告
5,奖学金,校级奖学金评定标准是什么,一等奖学年平均绩点≥3.5，二等奖≥3.0；全年无挂科、无违纪处分，体测成绩合格，10 月统一提交材料班级评议公示,学生处奖助政策
6,奖学金,奖学金申请时间是什么时候,每学年 10 月启动申请，提交成绩单、申请表，班级评议、系部审核后全校公示 3 个工作日,学生处通知公告
7,奖学金,竞赛获奖能加奖学金分数吗,省级技能竞赛、志愿服务获奖可额外加分，同等绩点下优先获评奖学金,学生奖励管理办法
8,奖学金,有挂科还能评奖学金吗,学年内存在课程挂科、违纪处分直接取消奖学金参评资格,学生手册奖励章节
9,宿舍报修,宿舍灯具、水管坏了怎么报修,两种渠道：1. 校园后勤小程序线上提交报修；2. 前往宿舍一楼宿管站登记报修,总务处宿舍管理规定
10,宿舍报修,宿舍空调故障找谁维修,空调故障先断电停机，通过宿管站登记报修，质保期厂商维修，过保由总务处统一安排维修,总务处空调管理文件
11,宿舍报修,人为损坏宿舍物品需要赔偿吗,人为损坏门锁、水管、空调等公物，维修费用由对应宿舍学生承担,宿舍管理暂行规定
12,宿舍报修,紧急水电故障多久上门维修,水管爆裂、断电等紧急故障 1 小时内维修人员上门，普通故障 24 小时内处理,总务处后勤服务通知
13,一卡通,校园卡丢失如何挂失,第一时间登录校园智慧门户 APP 线上挂失冻结资金，防止盗刷；线下可前往卡务中心人工挂失,校园一卡通办事指南
14,一卡通,补办校园卡地点和费用,补办地点为新桥校区食堂一楼卡务中心，工本费 20 元，携带身份证现场办理，当日可取卡,财务处收费公告
15,一卡通,校园卡消磁了怎么办,卡片消磁无需补办，携带卡片到卡务中心免费刷新恢复使用,后勤服务通知
16,一卡通,一卡通充值渠道有哪些,支持校园 APP 线上充值、食堂人工窗口现金充值、校内自助充值机充值,智慧校园门户说明
17,选课退课,每学期选课开放时间,每学期第 16 周开启下学期预选，开学第 2 周为正式选课窗口期,教务处学分制学籍管理办法
18,选课退课,开课之后还能退课吗,课程开课满 2 周后不再受理退课申请，退课后剩余学分不得低于专业最低修读学分要求,教务处办事指南
19,选课退课,选错课程怎么办理退课,在规定选课窗口期内登录教务系统提交退课申请，等待教务处审核通过方可生效,学籍管理办法
20,选课退课,退课之后会影响绩点吗,规定时间内正常退课不记录成绩，不计入绩点；逾期强行退课按挂科处理,教务处通知公告
21,校园办事,学生证丢失怎么补办,前往教务处学籍科（北区图书馆 103 室）提交申请，集中 4 月、11 月统一办理,教务处办事指南
22,校园办事,休学流程怎么办理,填写休学申请表，辅导员、系部审核，提交教务处学籍科备案，休学期限最长 2 年,教务处休学办理流程
23,校园办事,新生报到需要向招生办请假吗,新生无法按时报到必须提前向招生办请假，未请假逾期报到视为放弃入学资格,学籍管理办法
24,校园办事,校领导信访接待在哪里看时间,学院官网通知公告栏目可查看每月校领导信访接待日安排,官网 Notice 栏目 2026.06.15
